[0.9920724 0.0079276]
[0.9832017 0.0167983]
[0.95550515 0.04449485]
[0.93229456 0.06770544]
[0.93818552 0.06181448]
[0.95421794 0.04578206]
[0.97956816 0.02043184]
[0.98590928 0.01409072]
[0.98343087 0.01656913]
[0.98379098 0.01620902]
[0.9822992 0.0177008]
[0.98827198 0.01172802]
[0.99170966 0.00829034]
[0.98967988 0.01032012]
[0.98766117 0.01233883]
[0.99128531 0.00871469]
[0.99156783 0.00843217]
[0.98949995 0.01050005]
[0.98729346 0.01270654]
[0.98950647 0.01049353]
[0.9874635 0.0125365]
[0.98134118 0.01865882]
[0.98738282 0.01261718]
[0.9887844 0.0112156]
[0.98970859 0.01029141]
[0.98720738 0.01279262]
[0.97467286 0.02532714]
[0.87910802 0.12089198]
[0.85486332 0.14513668]
[0.91818578 0.08181422]
[0.96136512 0.03863488]
[0.96370841 0.03629159]
[0.97057469 0.02942531]
[0.96922675 0.03077325]
[0.97644927 0.02355073]
[0.97944518 0.02055482]
[0.98254425 0.01745575]
[0.98667092 0.01332908]
[0.97735397 0.02264603]
[0.9319804 0.0680196]
[0.95587293 0.04412707]
[0.94996441 0.05003559]
[0.96039671 0.03960329]
[0.96573966 0.03426034]
[0.97012761 0.02987239]
[0.97090147 0.02909853]
[0.96917516 0.03082484]
[0.967593 0.032407]
[0.97151053 0.02848947]
[0.98567801 0.01432199]
[0.96558161 0.03441839]
[0.94640609 0.05359391]
[0.9617073 0.0382927]
[0.96900253 0.03099747]
[0.97870084 0.02129916]
[0.98227704 0.01772296]
[0.97289183 0.02710817]
[0.95296785 0.04703215]
[0.93866101 0.06133899]
[0.96003295 0.03996705]
[0.98095534 0.01904466]
[0.97820953 0.02179047]
[0.9842847 0.0157153]
[0.98341724 0.01658276]
[0.98609191 0.01390809]
[0.9841601 0.0158399]
[0.96440804 0.03559196]
[0.97186041 0.02813959]
[0.98581887 0.01418113]
[0.98347236 0.01652764]
[0.91676029 0.08323971]
[0.90745646 0.09254354]
[0.96001607 0.03998393]
[0.98202913 0.01797087]
[0.98360859 0.01639141]
[0.98520182 0.01479818]
[0.98750445 0.01249555]
[0.98005593 0.01994407]
[0.83872159 0.16127841]
[0.9456553 0.0543447]
[0.98196814 0.01803186]
[0.98318884 0.01681116]
[0.97793459 0.02206541]
[0.95645698 0.04354302]
[0.91645155 0.08354845]
[0.87504478 0.12495522]
[0.96658262 0.03341738]
[0.96748795 0.03251205]
[0.96584062 0.03415938]
[0.96459218 0.03540782]
[0.96402242 0.03597758]
[0.96510024 0.03489976]
[0.98001777 0.01998223]
[0.97802772 0.02197228]
[0.98044889 0.01955111]
[0.97767634 0.02232366]
[0.98079833 0.01920167]
[0.98134425 0.01865575]
[0.98338839 0.01661161]
[0.98084254 0.01915746]
[0.95622292 0.04377708]
[0.87451757 0.12548243]
[0.89213857 0.10786143]
[0.97067601 0.02932399]
[0.95208501 0.04791499]
[0.96648985 0.03351015]
[0.96927387 0.03072613]
[0.98147252 0.01852748]
[0.98610371 0.01389629]
[0.94987711 0.05012289]
[0.37657972 0.62342028]
[0.9192621 0.0807379]
[0.97842423 0.02157577]
[0.97195133 0.02804867]
[0.97202405 0.02797595]
[0.97188367 0.02811633]
[0.97082888 0.02917112]
[0.97120118 0.02879882]
[0.97909585 0.02090415]
[0.97938208 0.02061792]
[0.97358337 0.02641663]
[0.97179053 0.02820947]
[0.97356685 0.02643315]
[0.97712189 0.02287811]
[0.97291894 0.02708106]
[0.97713436 0.02286564]
[0.98312214 0.01687786]
[0.97607915 0.02392085]
[0.9793116 0.0206884]
[0.98717912 0.01282088]
[0.9610955 0.0389045]
[0.30213373 0.69786627]
[0.86572889 0.13427111]
[0.97606082 0.02393918]
[0.97406161 0.02593839]
[0.97145842 0.02854158]
[0.98086811 0.01913189]
[0.98608045 0.01391955]
[0.98868472 0.01131528]
[0.98386285 0.01613715]
[0.98010704 0.01989296]
[0.83939742 0.16060258]
[0.98361225 0.01638775]
[0.97330074 0.02669926]
[0.95152856 0.04847144]
[0.94091086 0.05908914]
[0.98420764 0.01579236]
[0.98798146 0.01201854]
[0.98648452 0.01351548]
[0.97602839 0.02397161]
[0.97436293 0.02563707]
[0.98371931 0.01628069]
[0.98821333 0.01178667]
[0.9861741 0.0138259]
[0.97554229 0.02445771]
[0.97388536 0.02611464]
[0.9787945 0.0212055]
[0.98661466 0.01338534]
[0.98953656 0.01046344]
[0.97330693 0.02669307]
[0.9678168 0.0321832]
[0.97624457 0.02375543]
[0.97587433 0.02412567]
[0.98436321 0.01563679]
[0.98178018 0.01821982]
[0.98401022 0.01598978]
[0.891087 0.108913]
[0.86521798 0.13478202]
[0.97502747 0.02497253]
[0.97623255 0.02376745]
[0.98142722 0.01857278]
[0.96375977 0.03624023]
[0.964549 0.035451]
[0.98822208 0.01177792]
[0.98484643 0.01515357]
[0.98091889 0.01908111]
[0.9707573 0.0292427]
[0.24549181 0.75450819]
[0.91109502 0.08890498]
[0.97606369 0.02393631]
[0.9784893 0.0215107]
[0.98522715 0.01477285]
[0.98550354 0.01449646]
[0.97538066 0.02461934]
[0.96313733 0.03686267]
[0.97930221 0.02069779]
[0.98488898 0.01511102]
[0.98533998 0.01466002]
[0.98466448 0.01533552]
[0.97931978 0.02068022]
[0.96348761 0.03651239]
[0.98230676 0.01769324]
[0.98612854 0.01387146]
[0.97693628 0.02306372]
[0.98438858 0.01561142]
[0.98481225 0.01518775]
[0.98309769 0.01690231]
[0.98369125 0.01630875]
[0.98256426 0.01743574]
[0.98303141 0.01696859]
[0.98388552 0.01611448]
[0.97984087 0.02015913]
[0.98293857 0.01706143]
[0.98248979 0.01751021]
[0.98374977 0.01625023]
[0.95782744 0.04217256]
[0.97079061 0.02920939]
[0.98665263 0.01334737]
[0.97839513 0.02160487]
[0.98379305 0.01620695]
[0.98478042 0.01521958]
[0.98522078 0.01477922]
[0.98527451 0.01472549]
[0.98663592 0.01336408]
[0.97667259 0.02332741]
[0.16625961 0.83374039]
[0.9137919 0.0862081]
[0.97101008 0.02898992]
[0.98632418 0.01367582]
[0.98203208 0.01796792]
[0.98060691 0.01939309]
[0.98455926 0.01544074]
[0.97987967 0.02012033]
[0.98534607 0.01465393]
[0.98684774 0.01315226]
[0.98577225 0.01422775]
[0.98676888 0.01323112]
[0.98643667 0.01356333]
[0.98719505 0.01280495]
[0.98790941 0.01209059]
[0.9886845 0.0113155]
[0.98852955 0.01147045]
[0.98902381 0.01097619]
[0.990141 0.009859]
[0.99033947 0.00966053]
[0.98886983 0.01113017]
[0.98740457 0.01259543]
[0.99060229 0.00939771]
[0.99137512 0.00862488]
[0.99124191 0.00875809]
[0.99145111 0.00854889]
[0.99127371 0.00872629]
[0.99099015 0.00900985]
[0.99043701 0.00956299]
[0.97610555 0.02389445]
[0.99106208 0.00893792]
[0.99212324 0.00787676]
[0.12427337 0.87572663]
[0.35737741 0.64262259]
[0.95554511 0.04445489]
[0.97658009 0.02341991]
[0.97654637 0.02345363]
[0.98349288 0.01650712]
[0.31848139 0.68151861]
[0.63793288 0.36206712]
[0.98160376 0.01839624]
[0.98096989 0.01903011]
[0.98365475 0.01634525]
[0.97940034 0.02059966]
[0.98566511 0.01433489]
[0.98640143 0.01359857]
[0.98748621 0.01251379]
[0.98716645 0.01283355]
[0.98712359 0.01287641]
[0.98786414 0.01213586]
[0.98771739 0.01228261]
[0.98846311 0.01153689]
[0.98826186 0.01173814]
[0.98898516 0.01101484]
[0.99017352 0.00982648]
[0.99050622 0.00949378]
[0.99029684 0.00970316]
[0.99100869 0.00899131]
[0.99091716 0.00908284]
[0.99094721 0.00905279]
[0.99133045 0.00866955]
[0.99112018 0.00887982]
[0.99141576 0.00858424]
[0.99173731 0.00826269]
[0.99178255 0.00821745]
[0.99184225 0.00815775]
[0.9924218 0.0075782]
[0.99291493 0.00708507]
[0.99257123 0.00742877]
[0.9926653 0.0073347]
[0.99204406 0.00795594]
[0.92396834 0.07603166]
[0.96744058 0.03255942]
[0.9493241 0.0506759]
[0.98134775 0.01865225]
[0.88569248 0.11430752]
[0.95853967 0.04146033]
[0.98609025 0.01390975]
[0.98881443 0.01118557]
[0.98017035 0.01982965]
[0.98661529 0.01338471]
[0.99249317 0.00750683]
[0.75820054 0.24179946]
[0.19599576 0.80400424]
[0.55888521 0.44111479]
[0.42113562 0.57886438]
[0.85329064 0.14670936]
[0.97250376 0.02749624]
[0.98294916 0.01705084]
[0.97911097 0.02088903]
[0.98590972 0.01409028]
[0.92575921 0.07424079]
[0.9737289 0.0262711]
[0.96317731 0.03682269]
[0.94790033 0.05209967]
[0.93189756 0.06810244]
[0.94616292 0.05383708]
[0.92676144 0.07323856]
[0.93747614 0.06252386]
[0.96704176 0.03295824]
[0.97477453 0.02522547]
[0.95256454 0.04743546]
[0.98158266 0.01841734]
[0.96852877 0.03147123]
[0.98306462 0.01693538]
[0.97587158 0.02412842]
[0.98067724 0.01932276]
[0.98460904 0.01539096]
[0.98509627 0.01490373]
[0.98378957 0.01621043]
[0.9892511 0.0107489]
[0.99300886 0.00699114]
[0.99270373 0.00729627]
[0.98430172 0.01569828]
[0.99242412 0.00757588]
[0.99338475 0.00661525]
[0.99296242 0.00703758]
[0.9906126 0.0093874]
[0.9911081 0.0088919]
[0.98907949 0.01092051]
[0.97089583 0.02910417]
[0.99104103 0.00895897]
[0.90589867 0.09410133]
[0.95968222 0.04031778]
[0.9889804 0.0110196]
[0.98973402 0.01026598]
[0.84334783 0.15665217]
[0.95971881 0.04028119]
[0.98659317 0.01340683]
[0.96501356 0.03498644]
[0.95207356 0.04792644]
[0.95548843 0.04451157]
[0.72646458 0.27353542]
[0.94230862 0.05769138]
[0.98372727 0.01627273]
[0.97185426 0.02814574]
[0.95676788 0.04323212]
[0.95896288 0.04103712]
[0.94074774 0.05925226]
[0.24827364 0.75172636]
[0.29232541 0.70767459]
[0.95004685 0.04995315]
[0.98485642 0.01514358]
[0.96847301 0.03152699]
[0.96693834 0.03306166]
[0.97725675 0.02274325]
[0.96779507 0.03220493]
[0.96981486 0.03018514]
[0.99006631 0.00993369]
[0.98827855 0.01172145]
[0.16784875 0.83215125]
[0.84058761 0.15941239]
[0.98646036 0.01353964]
[0.96980447 0.03019553]
[0.89743269 0.10256731]
[0.97840414 0.02159586]
[0.97524181 0.02475819]
[0.97221133 0.02778867]
[0.97678232 0.02321768]
[0.98582472 0.01417528]
[0.87596539 0.12403461]
[0.56301865 0.43698135]
[0.98100115 0.01899885]
[0.98922299 0.01077701]
[0.97394939 0.02605061]
[0.98008696 0.01991304]
[0.94289664 0.05710336]
[0.95840768 0.04159232]
[0.98915719 0.01084281]
[0.98839965 0.01160035]
[0.98942586 0.01057414]
[0.95775951 0.04224049]
[0.98566625 0.01433375]
[0.98266143 0.01733857]
[0.96635873 0.03364127]
[0.95312702 0.04687298]
[0.98536371 0.01463629]
[0.98850561 0.01149439]
[0.98736976 0.01263024]
[0.98674634 0.01325366]
[0.98685789 0.01314211]
[0.98750894 0.01249106]
[0.98946889 0.01053111]
[0.9798203 0.0201797]
[0.98439005 0.01560995]
[0.99128914 0.00871086]
[0.92554311 0.07445689]
[0.92534405 0.07465595]
[0.96760511 0.03239489]
[0.97957479 0.02042521]
[0.97966903 0.02033097]
[0.97063546 0.02936454]
[0.97845244 0.02154756]
[0.99092104 0.00907896]
[0.99033914 0.00966086]
[0.98534794 0.01465206]
[0.92809803 0.07190197]
[0.9544313 0.0455687]
[0.98187457 0.01812543]
[0.99040436 0.00959564]
[0.98834678 0.01165322]
[0.96370368 0.03629632]
[0.9545944 0.0454056]
[0.93824563 0.06175437]
[0.97190965 0.02809035]
[0.97653455 0.02346545]
[0.9803624 0.0196376]
[0.9811932 0.0188068]
[0.97951231 0.02048769]
[0.9802514 0.0197486]
[0.98833395 0.01166605]
[0.98399929 0.01600071]
[0.97810716 0.02189284]
[0.31918167 0.68081833]
[0.41695343 0.58304657]
[0.98340768 0.01659232]
[0.98394529 0.01605471]
[0.98282876 0.01717124]
[0.98421198 0.01578802]
[0.98154679 0.01845321]
[0.97490171 0.02509829]
[0.97572076 0.02427924]
[0.98533687 0.01466313]
[0.98729032 0.01270968]
[0.98755702 0.01244298]
[0.98600863 0.01399137]
[0.98832368 0.01167632]
[0.9861969 0.0138031]
[0.92954458 0.07045542]
[0.98935472 0.01064528]
[0.98731675 0.01268325]
[0.96527074 0.03472926]
[0.95362897 0.04637103]
[0.94381809 0.05618191]
[0.97038301 0.02961699]
[0.98780383 0.01219617]
[0.988608 0.011392]
[0.98030278 0.01969722]
[0.9663372 0.0336628]
[0.97103359 0.02896641]
[0.98795258 0.01204742]
[0.97969651 0.02030349]
[0.8925343 0.1074657]
[0.96949907 0.03050093]
[0.98503499 0.01496501]
[0.98709236 0.01290764]
[0.9886841 0.0113159]
[0.98673966 0.01326034]
[0.98854505 0.01145495]
[0.9870196 0.0129804]
[0.98842425 0.01157575]
[0.85683471 0.14316529]
[0.85355651 0.14644349]
[0.99139573 0.00860427]
[0.98604109 0.01395891]
[0.97353226 0.02646774]
[0.98760367 0.01239633]
[0.98539036 0.01460964]
[0.89178356 0.10821644]
[0.98458786 0.01541214]
[0.98886 0.01114]
[0.90505215 0.09494785]
[0.96346448 0.03653552]
[0.98008054 0.01991946]
[0.98991124 0.01008876]
[0.98937524 0.01062476]
[0.98746008 0.01253992]
[0.98138144 0.01861856]
[0.9854063 0.0145937]
[0.84348541 0.15651459]
[0.9442415 0.0557585]
[0.99175489 0.00824511]
[0.98830646 0.01169354]
[0.97739765 0.02260235]
[0.97870083 0.02129917]
[0.96814943 0.03185057]
[0.42364817 0.57635183]
[0.36996718 0.63003282]
[0.97895071 0.02104929]
[0.98406907 0.01593093]
[0.98861954 0.01138046]
[0.98345144 0.01654856]
[0.98453865 0.01546135]
[0.98282725 0.01717275]
[0.98725173 0.01274827]
[0.98730777 0.01269223]
[0.94709546 0.05290454]
[0.98224602 0.01775398]
[0.95707635 0.04292365]
[0.98463533 0.01536467]
[0.98629472 0.01370528]
[0.98177064 0.01822936]
[0.98056015 0.01943985]
[0.9831675 0.0168325]
[0.98816614 0.01183386]
[0.98821214 0.01178786]
[0.98057112 0.01942888]
[0.85780391 0.14219609]
[0.98710168 0.01289832]
[0.98932107 0.01067893]
[0.98121149 0.01878851]
[0.9801139 0.0198861]
[0.98625459 0.01374541]
[0.98545043 0.01454957]
[0.98628251 0.01371749]
[0.8159348 0.1840652]
[0.93104031 0.06895969]
[0.98955268 0.01044732]
[0.98932158 0.01067842]
[0.98831446 0.01168554]
[0.96722624 0.03277376]
[0.98774594 0.01225406]
[0.99055872 0.00944128]
[0.98747246 0.01252754]
[0.9766754 0.0233246]
[0.93463307 0.06536693]
[0.99036811 0.00963189]
[0.99148315 0.00851685]
[0.98632661 0.01367339]
[0.98922783 0.01077217]
[0.92079155 0.07920845]
[0.98078926 0.01921074]
[0.99113449 0.00886551]
[0.98370207 0.01629793]
[0.98441663 0.01558337]
[0.93718173 0.06281827]
[0.33357426 0.66642574]
[0.27614974 0.72385026]
[0.70612848 0.29387152]
[0.98197816 0.01802184]
[0.98419715 0.01580285]
[0.97583852 0.02416148]
[0.97653033 0.02346967]
[0.98184552 0.01815448]
[0.9877698 0.0122302]
[0.98577165 0.01422835]
[0.97464726 0.02535274]
[0.96755388 0.03244612]
[0.98294874 0.01705126]
[0.98676241 0.01323759]
[0.98726312 0.01273688]
[0.97899114 0.02100886]
[0.98391421 0.01608579]
[0.98156111 0.01843889]
[0.98142551 0.01857449]
[0.98810596 0.01189404]
[0.98663319 0.01336681]
[0.98497139 0.01502861]
[0.98393398 0.01606602]
[0.90011763 0.09988237]
[0.98069741 0.01930259]
[0.74461785 0.25538215]
[0.98287216 0.01712784]
[0.89988617 0.10011383]
[0.830711 0.169289]
[0.98731244 0.01268756]
[0.98322654 0.01677346]
[0.97811466 0.02188534]
[0.98432127 0.01567873]
[0.96253934 0.03746066]
[0.49174297 0.50825703]
[0.94775078 0.05224922]
[0.98385459 0.01614541]
[0.98413496 0.01586504]
[0.98204187 0.01795813]
[0.96304535 0.03695465]
[0.97424962 0.02575038]
[0.98135703 0.01864297]
[0.85890168 0.14109832]
[0.98662119 0.01337881]
[0.99064897 0.00935103]
[0.98606165 0.01393835]
[0.82257582 0.17742418]
[0.85259289 0.14740711]
[0.96248115 0.03751885]
[0.97800143 0.02199857]
[0.98131603 0.01868397]
[0.98648985 0.01351015]
[0.98775277 0.01224723]
[0.90595956 0.09404044]
[0.91247417 0.08752583]
[0.98729271 0.01270729]
[0.98876675 0.01123325]
[0.98426636 0.01573364]
[0.98075997 0.01924003]
[0.98665198 0.01334802]
[0.64808675 0.35191325]
[0.89307684 0.10692316]
[0.98512838 0.01487162]
[0.87641442 0.12358558]
[0.1806376 0.8193624]
[0.58903601 0.41096399]
[0.97897096 0.02102904]
[0.98362482 0.01637518]
[0.98498635 0.01501365]
[0.98753095 0.01246905]
[0.98860877 0.01139123]
[0.98902001 0.01097999]
[0.98643758 0.01356242]
[0.79495718 0.20504282]
[0.98104604 0.01895396]
[0.97146677 0.02853323]
[0.97813884 0.02186116]
[0.97813324 0.02186676]
[0.98474201 0.01525799]
[0.97862126 0.02137874]
[0.88251049 0.11748951]
[0.90599996 0.09400004]
[0.92255141 0.07744859]
[0.96128041 0.03871959]
[0.98710864 0.01289136]
[0.98305894 0.01694106]
[0.98400711 0.01599289]
[0.98577009 0.01422991]
[0.98929245 0.01070755]
[0.97458707 0.02541293]
[0.981413 0.018587]
[0.98798025 0.01201975]
[0.8652642 0.1347358]
[0.93146724 0.06853276]
[0.95462806 0.04537194]
[0.95916994 0.04083006]
[0.98771345 0.01228655]
[0.98999067 0.01000933]
[0.98585202 0.01414798]
[0.99000309 0.00999691]
[0.91919338 0.08080662]
[0.85856299 0.14143701]
[0.98792787 0.01207213]
[0.98951204 0.01048796]
[0.9897228 0.0102772]
[0.98082077 0.01917923]
[0.17698268 0.82301732]
[0.51040516 0.48959484]
[0.98006945 0.01993055]
[0.9809401 0.0190599]
[0.98199805 0.01800195]
[0.98632556 0.01367444]
[0.98256281 0.01743719]
[0.98955209 0.01044791]
[0.98267774 0.01732226]
[0.98924075 0.01075925]
[0.98258604 0.01741396]
[0.96517295 0.03482705]
[0.9792714 0.0207286]
[0.96731949 0.03268051]
[0.95591391 0.04408609]
[0.91887415 0.08112585]
[0.93420545 0.06579455]
[0.9374425 0.0625575]
[0.95477342 0.04522658]
[0.96763088 0.03236912]
[0.98072164 0.01927836]
[0.97902119 0.02097881]
[0.95510446 0.04489554]
[0.98313848 0.01686152]
[0.97548249 0.02451751]
[0.98602236 0.01397764]
[0.98913308 0.01086692]
[0.99290201 0.00709799]
[0.99286512 0.00713488]
[0.99125805 0.00874195]
[0.99000811 0.00999189]
[0.98497093 0.01502907]
[0.9898683 0.0101317]
[0.99318851 0.00681149]
[0.99322562 0.00677438]
[0.99173917 0.00826083]
[0.99257274 0.00742726]
[0.98874867 0.01125133]
[0.98700668 0.01299332]
[0.9785408 0.0214592]
[0.98877713 0.01122287]
[0.99126037 0.00873963]
[0.99430478 0.00569522]
[0.99370501 0.00629499]
[0.9920274 0.0079726]
[0.99248408 0.00751592]
[0.99146374 0.00853626]
[0.1019413 0.8980587]
[0.58670723 0.41329277]
[0.9877484 0.0122516]
[0.98598003 0.01401997]
[0.99281379 0.00718621]
[0.99165455 0.00834545]
[0.99285291 0.00714709]
[0.9430974 0.0569026]
[0.97089581 0.02910419]
[0.95983316 0.04016684]
[0.98131632 0.01868368]
[0.98255262 0.01744738]
[0.98632008 0.01367992]
[0.99131253 0.00868747]
[0.98804201 0.01195799]
[0.98912642 0.01087358]
[0.99054228 0.00945772]
[0.99375784 0.00624216]
[0.99365267 0.00634733]
[0.98808652 0.01191348]
[0.99113151 0.00886849]
[0.98779139 0.01220861]
[0.98384799 0.01615201]
[0.97202724 0.02797276]
[0.99036767 0.00963233]
[0.99334731 0.00665269]
